planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
WASP-96 b,Confirmed,0.48,0.03,0.03,1.2,0.06,0.06,3.4252602,2.7e-06,2.7e-06,0.0453,2013,2023-07-20,Published in a refereed paper,Primary Transit,unkown,WASP-96,1.0458,-47.3606,12.782,12.386,317.83,3.73,3.73,0.14,0.19,0.19,1.06,0.09,0.09,1.05,0.05,0.05,5540.0,140.0,140.0,unkown
WASP-97 b,Confirmed,1.32,0.05,0.05,1.13,0.06,0.06,2.07276,1e-06,1e-06,0.03303,2013,2014-05-28,Published in a refereed paper,Primary Transit,unkown,WASP-97,24.6042,-55.7719,12.782,12.386,317.83,3.73,3.73,0.23,0.11,0.11,1.12,0.06,0.06,1.06,0.04,0.04,5640.0,100.0,100.0,unkown
WASP-98 Ab,Confirmed,0.83,0.07,0.07,1.1,0.04,0.04,2.96264,1.3e-06,1.3e-06,0.036,2013,2024-08-01,Published in a refereed paper,Primary Transit,TOI-404.01,WASP-98 A,58.425,-34.3283,11.69,11.29,281.742,1.6215,1.6215,-0.6,0.19,0.19,0.97,0.123,0.123,0.718,0.036,0.036,5526.0,126.747,126.747,"TOI-404, 2MASS J03534291-3419414"
WASP-99 b,Confirmed,2.78,0.13,0.13,1.1,0.05,0.05,5.75251,4e-05,4e-05,0.0717,2013,2018-12-17,Published in a refereed paper,Primary Transit,unkown,WASP-99,39.8958,-50.0081,12.782,12.386,317.83,3.73,3.73,0.21,0.15,0.15,1.48,0.1,0.1,1.76,0.11,0.11,6180.0,100.0,100.0,unkown
WD 0137-349 b,Confirmed,55.5,6.3,6.3,0.97,0.021,0.021,0.079424,3e-08,3e-08,0.003,2006,2024-04-26,Published in a refereed paper,Radial Velocity,"BPS CS 29504-0036 b, 2MASS J01394284-3442393 b",WD 0137-349,24.9285547843,-34.7109934381,15.72,15.52,102.26,0.515,0.515,0.01,0.1,0.1,0.39,0.035,0.035,0.0186,0.0012,0.0012,16500.0,500.0,500.0,"BPS CS 29504-0036, 2MASS J01394284-3442393"
WD 0310-688 b,Confirmed,3.0,1.9,1.9,1.03,0.35,0.35,11.456085,0.000107,0.000107,1.5,2024,2024-09-29,Published in a refereed paper,Other,unkown,WD 0310-688,47.62920833333333,-68.60093888888889,12.782,12.386,10.397,0.003,0.003,0.01,0.1,0.1,0.659,0.012,0.012,0.95,0.055,0.055,15685.0,263.0,263.0,unkown
WD 0806-661 B b,Confirmed,8.0,2.0,2.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,2500.0,2011,2016-02-23,Published in a refereed paper,Imaging,unkown,WD 0806-661B,121.725,-66.3047222,12.782,12.386,19.2,0.6,0.6,0.01,0.1,0.1,0.62,0.03,0.03,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WD 0837+185 B,Confirmed,30.0,5.0,5.0,0.232,0.021,0.021,0.175,0.000107,0.000107,0.006,2012,2018-12-18,Published in a refereed paper,Radial Velocity,"LB 5959 B, SDSS J084013.28+184326.3 B, SDSS J084013.29+184326.4 B",WD 0837+185,130.055425884,18.7239933838,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.798,0.006,0.006,0.95,0.055,0.055,15000.0,100.0,100.0,"LB 5959, SDSS J084013.28+184326.3, SDSS J084013.29+184326.4"
WD 1856+534 b,Confirmed,1.8,0.11,0.11,0.928,0.09,0.09,1.4079405,1.1e-06,1.1e-06,0.0204,2020,2024-08-02,Announced on a website,Primary Transit,"TOI 1690.01, TOI 1690 b",WD 1856+534,284.412500013,53.509166684,12.782,12.386,24.754,0.044,0.044,0.01,0.1,0.1,0.518,0.055,0.055,0.013,0.00054,0.00054,4710.0,60.0,60.0,"LP 141-14, TIC 267574918, TOI-1690"
WD J0601-4625 b,Confirmed,50.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,2900.0,2024,2024-10-24,Published in a refereed paper,Imaging,"CWISE J060202.17-462447.8, WD J060159.98-462534.40 b",WD J0601-4625,90.49991666666666,-46.42622222222222,12.782,12.386,317.83,3.73,3.73,0.01,0.1,0.1,0.54,0.052,0.052,0.01,0.055,0.055,5531.0,100.0,100.0,WD J060159.98-462534.40
WD J0914+1914 b,Confirmed,1.8,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.07,2019,2019-12-05,Published in a refereed paper,Other,unkown,WD J0914+1914,138.520833335,19.236666674,12.782,12.386,461.0,80.0,80.0,0.01,0.1,0.1,0.56,0.03,0.03,0.95,0.055,0.055,27743.0,310.0,310.0,unkown
WD J2122+6600 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,28000.0,2024,2024-06-30,Published in a refereed paper,Imaging,"CWISE J212342.88+655615.6, WD J212231.86+660043.69 b",WD J2122+6600,320.63275,66.0121361111111,12.782,12.386,54.0,3.73,3.73,0.01,0.1,0.1,0.63,0.052,0.052,0.01,0.055,0.055,5531.0,100.0,100.0,WD J212231.86+660043.69
Wendelstein-1 Ab,Confirmed,0.59,0.09,0.09,1.0,0.1,0.1,2.663416,1e-06,1e-06,0.0282,2020,2024-08-02,Published in a refereed paper,Primary Transit,TOI-4469.01,Wendelstein-1 A,299.050000004,17.570000014,12.782,12.386,304.0,4.0,4.0,0.01,0.1,0.1,0.65,0.1,0.1,0.61,0.09,0.09,4125.0,210.0,210.0,TOI-4469
Wendelstein-2 b,Confirmed,0.73,0.32,0.32,1.0,0.003,0.003,1.7522239,8e-07,8e-07,0.0234,2020,2020-06-01,Published in a refereed paper,Primary Transit,unkown,Wendelstein-2,297.79166667,16.912500028,12.782,12.386,575.0,6.0,6.0,0.01,0.1,0.1,0.73,0.11,0.11,0.66,0.1,0.1,4667.0,238.0,238.0,unkown
WIS 395 b,Confirmed,11.9,0.2,0.2,0.232,0.021,0.021,11.456085,0.000107,0.000107,22086.0,2010,2024-08-21,Published in a refereed paper,"Imaging, Astrometry","BD+29 5007 b, 2MASS J23512200+3010540",WIS 395,357.61609115686,30.35325854216,12.782,12.386,23.6322,0.0224,0.0224,-0.046,0.044,0.044,0.67,0.077,0.077,0.7611,0.0619,0.0619,4257.74,109.866,109.866,"HIP 117559, BD+29 5007, GJ 9841"
WISEA J0919-5748 b,Confirmed,30.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,810.0,2024,2024-06-30,Published in a refereed paper,Imaging,"WISEA J091900.48-574847.1 b, CWISE J091902.55-574837.3",WISEA J0919-5748,139.75174257706,-57.8127156519,11.306,10.701,41.8641,0.06625,0.06625,0.01,0.1,0.1,0.25,0.02,0.02,0.276,0.0084,0.0084,3306.0,157.0,157.0,WISEA J091900.48-574847.1
WISEA J2318+0521 b,Confirmed,60.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,1100.0,2024,2024-10-24,Published in a refereed paper,Imaging,"WISEA J231825.63+052141.6 b, CWISE J231824.58+052142.3",WISEA J2318+0521,349.6069976269,5.36188923562,12.642,12.046,69.7772,0.39245,0.39245,0.01,0.1,0.1,0.216,0.02,0.02,0.245,0.0076,0.0076,3260.0,157.0,157.0,"WISEA J231825.63+052141.6, 2MASS J23182567+0521427"
WISE J0005+3737,Confirmed,27.0,7.0,7.0,0.9,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-13,Published in a refereed paper,Imaging,WISE J000517.48+373720.5,unkown,1.3228333333333333,37.62236111111111,12.782,12.386,7.9,0.1,0.1,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0015-4615,Confirmed,32.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-29,Published in a refereed paper,Imaging,WISE J001505.87-461517.6,unkown,3.774486,-46.254912,12.782,12.386,13.92,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0032-4946,Confirmed,29.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-29,Published in a refereed paper,Imaging,WISE J003231.09-494651.4,unkown,8.129548,-49.780965,12.782,12.386,15.7,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0038+2758,Confirmed,24.0,7.0,7.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J003829.05+275852.1,unkown,9.62107,27.981152,12.782,12.386,11.1,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0047+6803,Confirmed,20.0,7.0,7.0,1.3,0.04,0.04,11.456085,0.000107,0.000107,0.12,2012,2024-07-15,Submitted to a professional journal,Imaging,"WISEP J004701.06+680352.1, 2MASS J00470038+6803543, W0047+68",unkown,11.7516110001289,68.0651020130816,12.782,12.386,12.1,0.2,0.2,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0049+2151,Confirmed,31.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-16,Published in a refereed paper,Imaging,WISE J004945.61+215120.0,unkown,12.442033,21.855675,12.782,12.386,7.1,0.1,0.1,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0146+4234,Confirmed,16.9,4.0,4.0,0.913,0.025,0.025,11.456085,0.000107,0.000107,0.12,2012,2024-07-13,Published in a refereed paper,Imaging,WISE J014656.66+423410.0,unkown,26.736115,42.569459,12.782,12.386,10.6,1.8,1.8,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0146+4234 b,Confirmed,15.9,4.4,4.4,0.919,0.015,0.015,2153.5,1131.5,1131.5,0.93,2015,2024-07-13,Published in a refereed paper,Imaging,WISE J014656.66+423410.0 b,unkown,26.736115,42.569459,12.782,12.386,10.6,1.8,1.8,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0254+0223,Confirmed,31.22,23.15,23.15,0.97,0.17,0.17,11.456085,0.000107,0.000107,0.12,2011,2024-07-13,Published in a refereed paper,Imaging,WISE J025409.51+022358.6,unkown,43.53286,2.398985,12.782,12.386,7.4,0.7,0.7,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0304-2705,Confirmed,25.0,5.0,5.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2014,2024-07-14,Published in a refereed paper,Imaging,WISE J030449.03-270508.3,unkown,46.20429166666667,-27.085638888888887,12.782,12.386,13.5,3.5,3.5,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0313+7807,Confirmed,26.2,1.7,1.7,0.88,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-14,Published in a refereed paper,Imaging,WISE J031325.94+780744.3,unkown,48.358098,78.128986,12.782,12.386,6.5,0.6,0.6,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0323+5625,Confirmed,3.9,1.8,1.8,0.573,0.056,0.056,11.456085,0.000107,0.000107,0.12,2014,2024-06-27,Published in a refereed paper,Imaging,WISE J032301.86+562558.0,unkown,50.756059,56.433674,12.782,12.386,16.4,1.6,1.6,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0325-5044,Confirmed,28.0,7.0,7.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2015,2024-07-14,Published in a refereed paper,Imaging,WISE J032504.33-504400.3,unkown,51.268064,-50.733441,12.782,12.386,36.4,2.4,2.4,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0335+4310,Confirmed,21.8,1.1,1.1,0.9,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J033515.01+431045.1,unkown,53.812577,43.179206,12.782,12.386,14.3,1.7,1.7,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0336-0143,Confirmed,8.5,1.0,1.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-13,Published in a refereed paper,Imaging,"W0336, WISE J033605.05-014350.4",unkown,54.020833335,-1.730555581,12.782,12.386,9.91,0.06,0.06,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0336-0143 b,Confirmed,5.0,1.0,1.0,0.232,0.021,0.021,2555.0,730.0,730.0,0.97,2023,2024-07-13,Published in a refereed paper,Imaging,"W0336 b, WISE J033605.05-014350.4 b",unkown,54.020833335,-1.730555581,12.782,12.386,9.91,0.06,0.06,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0350-5658,Confirmed,10.0,3.0,3.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J035000.32-565830.2,unkown,57.501366,-56.975065,12.782,12.386,5.67,0.07,0.07,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0359-5401,Confirmed,10.4,1.1,1.1,0.94,0.02,0.02,11.456085,0.000107,0.000107,0.12,2012,2024-08-12,Submitted to a professional journal,Imaging,WISE J035934.06-540154.6,unkown,59.8919460113557,-54.031845012476,12.782,12.386,13.27,1.3,1.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0404-6420,Confirmed,29.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2015,2024-07-14,Published in a refereed paper,Imaging,WISE J040443.48-642029.9,unkown,61.181181,-64.341667,12.782,12.386,24.8,0.7,0.7,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0410+1502,Confirmed,16.0,5.0,5.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-14,Published in a refereed paper,Imaging,WISE J041022.71+150248.4,unkown,62.594637,15.046795,12.782,12.386,6.61,0.09,0.09,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0413-4750,Confirmed,32.04,14.76,14.76,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J041358.14-475039.3,unkown,63.4922680193814,-47.8442510254008,12.782,12.386,22.0,3.0,3.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0458+6434,Confirmed,57.0,28.0,28.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2019,2024-08-23,Published in a refereed paper,"Imaging, Astrometry","GNO 1, WISE J045853.89+643452.5",unkown,74.725000018,64.581111134,12.782,12.386,9.24,0.15,0.15,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0458+6434 b,Confirmed,14.0,22.0,22.0,0.232,0.021,0.021,15700.0,4400.0,4400.0,5.0,2019,2024-08-23,Published in a refereed paper,"Imaging, Astrometry","GNO 1 b, WISE J045853.89+643452.5 b",unkown,74.725000018,64.581111134,12.782,12.386,9.24,0.15,0.15,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0528+0901,Confirmed,13.0,6.0,6.0,1.8,0.2,0.2,11.456085,0.000107,0.000107,0.12,2016,2024-06-24,Published in a refereed paper,"Imaging, Astrometry",WISE J052857.68+090104.4,unkown,82.240367,9.01789,12.782,12.386,81.0,13.0,13.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0535-7500,Confirmed,14.0,6.0,6.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J053516.80-750024.9,unkown,83.820029,-75.006921,12.782,12.386,14.0,1.0,1.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0611-0410 b,Confirmed,52.1,12.0,12.0,0.232,0.021,0.021,28470.0,2920.0,2920.0,8.8,2014,2024-07-16,Published in a refereed paper,Imaging,"GNO 3 b, WISE J061135.13-041024.0 b",WISE J0611-0410,92.896153,-4.172446,15.48,14.64,21.2,1.3,1.3,0.01,0.1,0.1,0.0648,0.0004,0.0004,0.95,0.055,0.055,1300.0,25.0,25.0,"GNO 3, WISE J061135.13-041024.0"
WISE J0612-3036,Confirmed,45.0,15.0,15.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-02,Published in a refereed paper,Imaging,WISE J061213.85-303612.5,unkown,93.057723,-30.603476,12.782,12.386,31.0,6.0,6.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0612-3036 b,Confirmed,45.0,15.0,15.0,0.232,0.021,0.021,46355.0,8030.0,8030.0,11.0,2015,2024-07-02,Published in a refereed paper,Imaging,WISE J061213.85-303612.5 b,unkown,93.057723,-30.603476,12.782,12.386,31.0,6.0,6.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0623-0456,Confirmed,13.18,9.44,9.44,0.78,0.13,0.13,11.456085,0.000107,0.000107,0.12,2011,2024-06-30,Published in a refereed paper,Imaging,WISE J062309.94-045624.6,unkown,95.791424,-4.940171,12.782,12.386,11.44,0.38,0.38,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0647-6232,Confirmed,17.5,12.5,12.5,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2013,2024-06-21,Published in a refereed paper,"Imaging, Other",WISE J064723.23-623235.5,unkown,101.846821,-62.543199,12.782,12.386,8.7,0.9,0.9,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0713-2917,Confirmed,26.0,7.0,7.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J071322.55-291751.9,unkown,108.343984,-29.297767,12.782,12.386,9.1,0.2,0.2,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0734-7157,Confirmed,14.0,5.0,5.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J073444.02-715744.0,unkown,113.683427,-71.962235,12.782,12.386,13.3,0.4,0.4,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0744+5628,Confirmed,35.0,10.0,10.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-14,Published in a refereed paper,Imaging,WISE J074457.25+562821.0,unkown,116.238542,56.472508,12.782,12.386,14.5,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0750+2725,Confirmed,34.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-01,Published in a refereed paper,Imaging,WISEP J075003.84+272544.8,unkown,117.51807695833334,27.42972202777778,12.782,12.386,15.8,2.0,2.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0811-8051,Confirmed,20.0,6.0,6.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Timing,WISE J081117.81-805141.3,unkown,122.824242,-80.861496,12.782,12.386,9.8,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0812+4021,Confirmed,46.0,11.0,11.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J081220.04+402106.2,unkown,123.083514,40.351739,12.782,12.386,19.5,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0825+2805,Confirmed,5.0,2.0,2.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2014,2024-07-14,Published in a refereed paper,Imaging,WISE J082507.35+280548.5,unkown,126.280655,28.096822,12.782,12.386,10.0,0.3,0.3,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0830+2837,Confirmed,8.5,4.5,4.5,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2020,2024-07-16,Submitted to a professional journal,Imaging,WISE J083011.97+283716.6,unkown,127.54979167065,28.621111127,12.782,12.386,11.1,1.5,1.5,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0836-1859,Confirmed,26.2,9.1,9.1,0.9,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-14,Published in a refereed paper,Imaging,WISE J083641.10-185947.0,unkown,129.171283,-18.996411,12.782,12.386,48.9,20.0,20.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0855-0714,Confirmed,6.0,4.0,4.0,0.9,0.021,0.021,11.456085,0.000107,0.000107,0.12,2014,2024-08-21,Published in a refereed paper,Imaging,"WISE J085510.83-071442.5, WISE 0855",unkown,133.795833337,-7.245277792,12.782,12.386,2.31,0.08,0.08,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J0857+5604,Confirmed,31.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-14,Published in a refereed paper,Imaging,WISE J085716.24+560407.6,unkown,134.317688,56.068792,12.782,12.386,12.9,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J091558.49+254713.6,Confirmed,30.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,27000.0,2024,2024-11-01,Published in a refereed paper,Imaging,"StKM 1-760 (AB)b, CWISE J091558.53+254713.0",StKM 1-760,139.094875,25.66378333333333,8.937,8.324,53.16828,3.73,3.73,0.01,0.1,0.1,0.6,0.0257,0.0257,0.616,0.027,0.027,3918.0,157.0,157.0,TYC 1954-1510-1
WISE J0943+3607,Confirmed,21.0,6.0,6.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2014,2024-07-14,Published in a refereed paper,Imaging,WISE J094305.98+360723.5,unkown,145.77495416666667,36.12321388888889,12.782,12.386,12.0,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1051-2138,Confirmed,30.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISEA J105130.02-213859.9,unkown,162.875074,-21.64992,12.782,12.386,12.5,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1118+3125,Confirmed,26.0,12.0,12.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2013,2024-12-14,Published in a refereed paper,Imaging,"WISE J111838.70+312537.9, ksi UMa C, ksi UMa E",unkown,169.661208346,31.4271389056,12.782,12.386,8.8,0.4,0.4,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1141-3326,Confirmed,5.0,2.0,2.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2014,2024-07-14,Published in a refereed paper,Imaging,WISE J114156.71-332635.8,unkown,175.486314,-33.443293,12.782,12.386,9.5,0.4,0.4,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1206+8401,Confirmed,17.0,5.0,5.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2015,2024-07-14,Published in a refereed paper,Imaging,WISE J120604.38+840110.6,unkown,181.518279,84.019635,12.782,12.386,14.5,0.4,0.4,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1217+1626,Confirmed,30.0,5.0,5.0,0.91,0.04,0.04,11.456085,0.000107,0.000107,0.12,2011,2024-06-24,Published in a refereed paper,Imaging,"WISE J121756.90+162640.8, WISEP J121756.91+162640.2, WDS J12179+1627AB, LIM 4",unkown,184.487500019,16.444444462,12.782,12.386,10.0,2.0,2.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1217+1626 b,Confirmed,22.0,2.0,2.0,0.96,0.03,0.03,47400.0,11000.0,11000.0,7.6,2012,2024-06-24,Published in a refereed paper,Imaging,"WISEP J121756.91+162640.2 b, WISE J121756.90+162640.8 b, LIM 4 b, WDS J12179+1627 b",unkown,184.487500019,16.444444462,12.782,12.386,10.0,2.0,2.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1311+0122,Confirmed,27.0,3.5,3.5,0.88,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-14,Published in a refereed paper,Imaging,WISE J131106.20+012254.3,unkown,197.77587,1.38177,12.782,12.386,16.1,3.0,3.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1318-1758,Confirmed,30.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2012,2024-07-14,Published in a refereed paper,Imaging,WISE J131833.98-175826.5,unkown,199.641592,-17.97404,12.782,12.386,10.1,3.73,3.73,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1322-2340,Confirmed,35.0,8.0,8.0,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2011,2024-07-01,Published in a refereed paper,Imaging,WISE J132233.64-234016.8,unkown,200.640175,-23.671352,12.782,12.386,10.4,2.0,2.0,0.01,0.1,0.1,0.94,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
WISE J1355-8258 b,Confirmed,9.0,0.11,0.11,0.232,0.021,0.021,11.456085,0.000107,0.000107,0.12,2018,2021-10-19,Published in a refereed paper,Imaging,unkown,WISE J1355-8258,208.762500001,-82.97722225,12.782,12.386,16.7,5.3,5.3,0.01,0.1,0.1,0.011,0.052,0.052,0.95,0.055,0.055,5531.0,100.0,100.0,unkown
